County,Year,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Families in Poverty (12mo)
"Adams County, Colorado",2011,434295.0,32.2,56089.0,24384.0,60147.0,13.849342037094601,5143.0
"Adams County, Colorado",2012,442996.0,32.4,56633.0,24357.0,62008.0,13.99741758390595,4999.0
"Adams County, Colorado",2013,452030.0,32.6,56270.0,24195.0,63540.0,14.056589164435989,4814.0
"Adams County, Colorado",2014,461558.0,32.8,57421.0,24667.0,64599.0,13.995857508698798,4861.0
"Adams County, Colorado",2015,471206.0,33.0,58946.0,25039.0,64241.0,13.633315365254262,4802.0
"Adams County, Colorado",2016,479977.0,33.3,61444.0,26051.0,61265.0,12.764153282344779,4690.0
"Adams County, Colorado",2017,487850.0,33.4,64087.0,27487.0,59050.0,12.104130367940966,4542.0
"Adams County, Colorado",2018,497115.0,33.6,67575.0,28897.0,56588.0,11.383281534453799,4181.0
"Adams County, Colorado",2019,504108.0,33.8,71202.0,30313.0,54159.0,10.743531148087314,4100.0
"Adams County, Colorado",2020,509844.0,34.0,73817.0,31310.0,49946.0,9.796329857760414,3647.0
"Adams County, Colorado",2021,514969.0,34.2,78304.0,33571.0,48959.0,9.507174218253914,3434.0
"Alamosa County, Colorado",2011,15395.0,32.0,38299.0,20429.0,3103.0,20.155894771029555,303.0
"Alamosa County, Colorado",2012,15750.0,32.2,38045.0,19657.0,3191.0,20.26031746031746,304.0
"Alamosa County, Colorado",2013,15933.0,31.3,34520.0,19487.0,3924.0,24.62813029561288,332.0
"Alamosa County, Colorado",2014,16111.0,30.8,31400.0,19481.0,4192.0,26.019489789584757,320.0
"Alamosa County, Colorado",2015,16269.0,30.1,32395.0,19524.0,4396.0,27.020714241809575,392.0
"Alamosa County, Colorado",2016,16353.0,30.2,32385.0,18133.0,4786.0,29.26680119855684,475.0
"Alamosa County, Colorado",2017,16345.0,30.3,36315.0,19217.0,4239.0,25.934536555521568,427.0
"Alamosa County, Colorado",2018,16444.0,30.4,39191.0,21328.0,3635.0,22.10532717100462,392.0
"Alamosa County, Colorado",2019,16107.0,31.8,37515.0,22131.0,3528.0,21.903520208604956,422.0
"Alamosa County, Colorado",2020,16153.0,32.3,41121.0,23020.0,2806.0,17.371386120225345,279.0
"Alamosa County, Colorado",2021,16377.0,32.9,46217.0,25249.0,2466.0,15.057702875984612,144.0
"Arapahoe County, Colorado",2011,563508.0,35.6,59937.0,32482.0,66319.0,11.768954478019833,5198.0
"Arapahoe County, Colorado",2012,574357.0,35.7,60400.0,32845.0,66945.0,11.655642744843364,5311.0
"Arapahoe County, Colorado",2013,585333.0,35.9,60651.0,32595.0,69949.0,11.950291543446209,5015.0
"Arapahoe County, Colorado",2014,596684.0,36.0,62213.0,33574.0,68985.0,11.561395981792709,4896.0
"Arapahoe County, Colorado",2015,608310.0,36.1,63265.0,34190.0,67679.0,11.125741809274876,5035.0
"Arapahoe County, Colorado",2016,617668.0,36.3,66288.0,35250.0,65383.0,10.585460150113006,4759.0
"Arapahoe County, Colorado",2017,626612.0,36.4,69553.0,36951.0,61463.0,9.808781191550752,4438.0
"Arapahoe County, Colorado",2018,636671.0,36.5,73925.0,38972.0,56802.0,8.921719380967565,4194.0
"Arapahoe County, Colorado",2019,644560.0,36.6,77469.0,40443.0,51542.0,7.996462703239419,3626.0
"Arapahoe County, Colorado",2020,649980.0,36.8,80291.0,42184.0,49932.0,7.682082525616173,3379.0
"Arapahoe County, Colorado",2021,651621.0,37.0,84947.0,45046.0,49673.0,7.62298943711145,3083.0
"Archuleta County, Colorado",2011,12152.0,47.1,60170.0,29361.0,927.0,7.628373930217248,95.0
"Archuleta County, Colorado",2012,12109.0,47.5,54007.0,29771.0,1051.0,8.679494590800232,164.0
"Archuleta County, Colorado",2013,12109.0,47.8,48933.0,29793.0,1161.0,9.587909819142787,191.0
"Archuleta County, Colorado",2014,12132.0,48.8,48186.0,28506.0,1327.0,10.938015166501813,212.0
"Archuleta County, Colorado",2015,12174.0,49.6,46646.0,28884.0,1405.0,11.540988992935764,227.0
"Archuleta County, Colorado",2016,12355.0,49.5,45607.0,28649.0,1369.0,11.080534196681505,197.0
"Archuleta County, Colorado",2017,12592.0,49.8,48016.0,29344.0,1446.0,11.483481575603557,197.0
"Archuleta County, Colorado",2018,12908.0,50.6,50753.0,31035.0,1370.0,10.61357297799814,159.0
"Archuleta County, Colorado",2019,13253.0,50.9,52221.0,31629.0,1153.0,8.699916999924545,137.0
"Archuleta County, Colorado",2020,13588.0,50.3,55658.0,32995.0,1119.0,8.23520753606123,121.0
"Archuleta County, Colorado",2021,13267.0,50.0,62907.0,34394.0,1283.0,9.67061129117359,159.0
"Baca County, Colorado",2011,3807.0,47.2,37111.0,21322.0,644.0,16.916206987128973,88.0
