NAME,B19013_001E,B19301_001E,B23025_002E,B23025_007E,B17001_002E,B01002_001E,B01003_001E,B25035_001E,B25058_001E,B25064_001E,B25077_001E,B25088_002E,Year,state,county
,,,,,,,,,,,,,,,
"Adams County, Colorado",56089.0,24384.0,232203.0,90191.0,60147.0,32.2,434295.0,1983.0,793.0,911.0,192300.0,1633.0,2011,08,001
"Adams County, Colorado",56633.0,24357.0,236474.0,92873.0,62008.0,32.4,442996.0,1983.0,819.0,947.0,188100.0,1604.0,2012,08,001
"Adams County, Colorado",56270.0,24195.0,239307.0,97298.0,63540.0,32.6,452030.0,1983.0,837.0,967.0,186600.0,1582.0,2013,08,001
"Adams County, Colorado",57421.0,24667.0,243917.0,100410.0,64599.0,32.8,461558.0,1983.0,871.0,1003.0,189400.0,1545.0,2014,08,001
"Adams County, Colorado",58946.0,25039.0,249893.0,102520.0,64241.0,33.0,471206.0,1984.0,905.0,1039.0,198800.0,1511.0,2015,08,001
"Adams County, Colorado",61444.0,26051.0,254614.0,105112.0,61265.0,33.3,479977.0,1985.0,966.0,1098.0,216700.0,1508.0,2016,08,001
"Adams County, Colorado",64087.0,27487.0,260199.0,106639.0,59050.0,33.4,487850.0,1985.0,1040.0,1172.0,241900.0,1559.0,2017,08,001
"Adams County, Colorado",67575.0,28897.0,267927.0,107902.0,56588.0,33.6,497115.0,1986.0,1137.0,1270.0,273000.0,1621.0,2018,08,001
"Adams County, Colorado",71202.0,30313.0,273313.0,109320.0,54159.0,33.8,504108.0,1987,1205.0,1346.0,307600.0,1706.0,2019,08,001
"Adams County, Colorado",73817.0,31310.0,277135.0,111962.0,49946.0,34.0,509844.0,1988,1242.0,1387.0,335800.0,1795.0,2020,08,001
"Adams County, Colorado",78304.0,33571.0,282806.0,112276.0,48959.0,34.2,514969.0,1989,1352.0,1470.0,360600.0,1927.0,2021,08,001
