Date,Recipients
1/1/10,395580
2/1/10,398862
3/1/10,407731
4/1/10,411245
5/1/10,413805
6/1/10,417989
7/1/10,419737
8/1/10,424314
9/1/10,424878
10/1/10,428941
11/1/10,435306
12/1/10,441221
1/1/11,443242
2/1/11,443661
3/1/11,455250
4/1/11,454810
5/1/11,460292
6/1/11,464498
7/1/11,464088
8/1/11,471363
9/1/11,474564
10/1/11,480566
11/1/11,481440
12/1/11,488527
1/1/12,491483
2/1/12,488691
3/1/12,496109
4/1/12,491333
5/1/12,493638
6/1/12,494316
7/1/12,496559
8/1/12,499273
9/1/12,497621
10/1/12,505366
11/1/12,504741
12/1/12,508679
1/1/13,511802
2/1/13,507192
3/1/13,513483
4/1/13,510696
5/1/13,510441
6/1/13,507135
7/1/13,506228
8/1/13,506169
9/1/13,503275
10/1/13,508082
11/1/13,501679
12/1/13,504612
1/1/14,503223
2/1/14,501889
3/1/14,508211
4/1/14,506461
5/1/14,509949
6/1/14,509157
7/1/14,506625
8/1/14,501508
9/1/14,500635
10/1/14,502721
11/1/14,499087
12/1/14,503645
1/1/15,500125
2/1/15,494727
3/1/15,498271
4/1/15,493102
5/1/15,494150
6/1/15,492908
7/1/15,489675
8/1/15,488427
9/1/15,484767
10/1/15,481892
11/1/15,479102
12/1/15,481720
1/1/16,480212
2/1/16,478383
3/1/16,477783
4/1/16,475244
5/1/16,473690
6/1/16,471792
7/1/16,469090
8/1/16,471950
9/1/16,467426
10/1/16,466789
11/1/16,465069
12/1/16,466844
1/1/17,468636
2/1/17,461645
3/1/17,465246
4/1/17,457848
5/1/17,457445
6/1/17,454291
7/1/17,448129
8/1/17,450351
9/1/17,448675
10/1/17,451621
11/1/17,449017
12/1/17,451127
1/1/18,454873
2/1/18,455910
3/1/18,450866
4/1/18,445005
5/1/18,442787
6/1/18,442154
7/1/18,443567
8/1/18,455186
9/1/18,455773
10/1/18,461659
11/1/18,462062
12/1/18,456585
1/1/19,458895
2/1/19,453283
3/1/19,452616
4/1/19,447801
5/1/19,446093
6/1/19,445289
7/1/19,444626
8/1/19,440612
9/1/19,438326
10/1/19,439390
11/1/19,435937
12/1/19,437241
1/1/20,434142
2/1/20,431397
3/1/20,439355
4/1/20,507074
5/1/20,524084
6/1/20,539331
7/1/20,551936
8/1/20,534175
9/1/20,523098
10/1/20,506102
11/1/20,476756
12/1/20,497997
1/1/21,499164
2/1/21,507441
3/1/21,512057
4/1/21,517146
5/1/21,522550
6/1/21,513617
7/1/21,512297
8/1/21,565496
9/1/21,536718
10/1/21,504963
11/1/21,512732
12/1/21,559785
1/1/22,515705
2/1/22,521159
3/1/22,532046
4/1/22,541308
5/1/22,535919
6/1/22,542173
